-5.000e-05,0.0186
-4.999e-05,0.02
-4.998e-05,0.0192
-4.997e-05,0.0198
-4.996e-05,0.0194
-4.995e-05,0.0206
-4.994e-05,0.0196
-4.993e-05,0.0198
-4.992e-05,0.0202
-4.991e-05,0.0206
-4.990e-05,0.0202
-4.989e-05,0.02
-4.988e-05,0.0208
-4.987e-05,0.0206
-4.986e-05,0.0208
-4.985e-05,0.0198
-4.984e-05,0.0198
-4.983e-05,0.0202
-4.982e-05,0.02
-4.981e-05,0.0196
-4.980e-05,0.0202
-4.979e-05,0.0192
-4.978e-05,0.0186
-4.977e-05,0.0184
-4.976e-05,0.0182
-4.975e-05,0.0172
-4.974e-05,0.0182
-4.973e-05,0.0172
-4.972e-05,0.0176
-4.971e-05,0.018
-4.970e-05,0.017
-4.969e-05,0.0164
-4.968e-05,0.0168
-4.967e-05,0.0162
-4.966e-05,0.016
-4.965e-05,0.0154
-4.964e-05,0.0154
-4.963e-05,0.0152
-4.962e-05,0.0154
-4.961e-05,0.015
-4.960e-05,0.015
-4.959e-05,0.0156
-4.958e-05,0.015
-4.957e-05,0.0148
-4.956e-05,0.0148
-4.955e-05,0.0156
-4.954e-05,0.0152
-4.953e-05,0.0144
-4.952e-05,0.0152
-4.951e-05,0.0154
-4.950e-05,0.016
-4.949e-05,0.0154
-4.948e-05,0.0162
-4.947e-05,0.0158
-4.946e-05,0.0164
-4.945e-05,0.0156
-4.944e-05,0.0162
-4.943e-05,0.0172
-4.942e-05,0.0164
-4.941e-05,0.0172
-4.940e-05,0.017
-4.939e-05,0.0168
-4.938e-05,0.0176
-4.937e-05,0.0182
-4.936e-05,0.0184
-4.935e-05,0.019
-4.934e-05,0.0186
-4.933e-05,0.0188
-4.932e-05,0.0184
-4.931e-05,0.0192
-4.930e-05,0.0196
-4.929e-05,0.0198
-4.928e-05,0.0198
-4.927e-05,0.0196
-4.926e-05,0.0198
-4.925e-05,0.0198
-4.924e-05,0.0198
-4.923e-05,0.0202
-4.922e-05,0.0202
-4.921e-05,0.0194
-4.920e-05,0.0198
-4.919e-05,0.0198
-4.918e-05,0.02
-4.917e-05,0.0194
-4.916e-05,0.0194
-4.915e-05,0.0196
-4.914e-05,0.019
-4.913e-05,0.0188
-4.912e-05,0.0184
-4.911e-05,0.0176
-4.910e-05,0.0176
-4.909e-05,0.0176
-4.908e-05,0.0178
-4.907e-05,0.0176
-4.906e-05,0.017
-4.905e-05,0.0172
-4.904e-05,0.0172
-4.903e-05,0.0168
-4.902e-05,0.0168
-4.901e-05,0.0164
-4.900e-05,0.0162
-4.899e-05,0.0152
-4.898e-05,0.015
-4.897e-05,0.0156
-4.896e-05,0.0158
-4.895e-05,0.0156
-4.894e-05,0.0154
-4.893e-05,0.015
-4.892e-05,0.0152
-4.891e-05,0.0146
-4.890e-05,0.0152
-4.889e-05,0.0152
-4.888e-05,0.015
-4.887e-05,0.0154
-4.886e-05,0.0154
-4.885e-05,0.0158
-4.884e-05,0.0158
-4.883e-05,0.0152
